DOY,0.05,0.2,0.55,0.95,1.25,1.76,2.52,3.32,4.32,5.28,6.28,7.26,8.27,9.25,
171.6568981,-99,-99,-99,-99,12.12168296,8.397818196,5.936916859,4.959566467,4.335699401,3.670383741,3.685201014,2.812717689,3.632201014,3.50068434,
171.6603703,-99,-99,-99,-99,12.20564093,7.890137076,5.879858728,5.074099011,4.372858383,3.643,3.597812701,2.707783694,3.528887851,3.400537805,
171.6638426,-99,-99,-99,-99,12.45616444,7.982278163,5.884149608,5.184674505,4.3818497,3.643,3.56469187,2.66419187,3.491975103,3.373716767,
171.6673148,-99,-99,-99,-99,13.00212421,9.707916468,5.994515637,5.265412057,4.42171677,3.63357515,3.550783232,2.650274895,3.485,3.357358383,
171.670787,-99,-99,-99,-99,14.04350834,12.13398936,6.22524803,5.357782536,4.38943353,3.616999999,3.551433533,2.664,3.485,3.354,
171.6742592,-99,-99,-99,-99,14.70618649,13.13784238,6.304221563,5.35487152,4.293330066,3.597812702,3.515671084,2.664,3.485,3.354,
171.6777315,-99,-99,-99,-99,14.80319963,13.62869964,6.098509603,5.163476485,4.124142768,3.56469187,3.47269187,2.657475104,3.485,3.354,
171.6812037,-99,-99,-99,-99,14.87209959,12.00946455,5.929409565,4.949617753,3.973154868,3.531933533,3.449575151,2.640487551,3.485,3.344212657,
171.6846759,-99,-99,-99,-99,14.91199999,8.620831677,5.77135038,4.75603473,3.85525081,3.498950207,3.433,2.637,3.485,3.327000002,
171.6881481,-99,-99,-99,-99,14.37797044,7.323873832,5.647196684,4.585083852,3.778575155,3.472216769,3.433,2.637,3.485,3.340274894,
171.6916203,-99,-99,-99,-99,11.28545818,6.998142536,5.721623327,4.791922314,3.857598893,3.497374596,3.433,2.637,3.485,3.3405,
171.6950926,-99,-99,-99,-99,8.608884886,7.031636227,5.948053697,5.153927946,4.019299459,3.544370839,3.433,2.637,3.475575152,3.35051245,
171.6985648,-99,-99,-99,-99,8.000836047,7.142350369,5.950350407,5.257000007,4.012250826,3.525433539,3.433,2.637,3.459,3.354,
171.702037,-99,-99,-99,-99,7.938822727,7.044025291,5.979853582,5.288237203,3.984058123,3.52478323,3.439283237,2.637,3.459,3.354,
171.7055092,-99,-99,-99,-99,9.262079617,7.494194792,6.075474413,5.308,3.959125403,3.524999999,3.459000001,2.637,3.465283233,3.354,
171.7089815,-99,-99,-99,-99,10.72585412,8.249559291,6.263168757,5.447560246,3.941353799,3.544066467,3.44914161,2.637,3.481641619,3.354,
171.7124537,-99,-99,-99,-99,10.96006864,8.45890141,6.532815917,5.779515291,4.086015082,3.564,3.458999996,2.637,3.485,3.354,
171.7159259,-99,-99,-99,-99,10.96033259,8.584464254,6.886296302,6.009427697,4.469896977,3.573545688,3.44935839,2.637,3.481858381,3.354,
171.7193981,-99,-99,-99,-99,10.73345158,9.159312207,7.624455456,6.184608042,4.79186708,3.603500002,3.471566468,2.637,3.465716766,3.354,
171.7228703,-99,-99,-99,-99,10.56639377,9.518493407,7.552206601,6.138337929,4.515059549,3.574204309,3.504212189,2.637,3.459,3.354,
171.7263426,-99,-99,-99,-99,10.17790231,9.143452175,7.098570175,5.978751898,4.402867072,3.577049798,3.550566467,2.637,3.459,3.354,
171.7298148,-99,-99,-99,-99,10.00145846,8.430447421,6.569594904,5.460799837,4.341225435,3.619708075,3.57727489,2.637,3.459,3.354,
171.733287,-99,-99,-99,-99,9.895177278,7.719052777,6.129117627,4.96991001,4.208926,3.610908637,3.55188374,2.637,3.459,3.354,
171.7367592,-99,-99,-99,-99,9.656027329,7.748316776,6.490448853,5.145978733,4.225448189,3.570845928,3.476354614,2.637,3.459,3.344212659,
171.7402315,-99,-99,-99,-99,10.06926412,8.615009722,7.150714697,5.728515155,4.503398756,3.577049786,3.433000007,2.637,3.47156646,3.340049786,
171.7437037,-99,-99,-99,-99,10.70772043,8.969671598,6.850245762,5.576344148,4.564933533,3.59414162,3.455328918,2.637,3.485,3.354,
171.7471759,-99,-99,-99,-99,11.24771376,9.061357001,6.406127253,5.316000688,4.551283232,3.629374596,3.510874597,2.637,3.485,3.354,
171.7506481,-99,-99,-99,-99,11.86056631,9.152033849,6.140620734,5.31610768,4.577283242,3.685795694,3.567070582,2.637,3.485,3.354,
171.7541203,-99,-99,-99,-99,12.44456458,9.612924751,6.277115018,5.360350353,4.433202464,3.721616228,3.591000031,2.637,3.485,3.353999968,
171.7575926,-99,-99,-99,-99,12.63209956,10.10551826,6.277001229,5.189314068,4.233650322,3.722941886,3.661715953,2.637,3.485,3.298621319,
171.7610648,-99,-99,-99,-99,12.69468249,9.199814557,5.972968722,4.91773482,4.251849702,3.722500002,3.735308131,2.656333025,3.485,3.300308132,
171.764537,-99,-99,-99,-99,12.94590223,8.462779872,5.823582733,4.816641232,4.347398762,3.72205811,3.749,2.716453867,3.485,3.313783224,
171.7680092,-99,-99,-99,-99,13.25299811,8.665155321,5.873350383,4.856916903,4.530265769,3.723383759,3.735950208,2.756566476,3.472433551,3.327,
171.7714815,-99,-99,-99,-99,13.42999952,10.43332006,5.82762922,4.928957407,4.456817972,3.686454305,3.712479228,2.802462186,3.471783225,3.327,
171.7749537,-99,-99,-99,-99,13.42000046,10.55973688,5.946865688,5.087524208,4.248793069,3.66278323,3.747874597,2.836049792,3.510182723,3.333524896,
171.7784259,-99,-99,-99,-99,13.38839969,10.08872881,6.105652755,5.047330824,4.067354568,3.756286532,3.737009188,2.85045023,3.619233019,3.350512454,
